ID Métier,Nom du Métier,Domaine du Métier,Niveau de Formation,Expérience Attendue,Opportunités de Carrière,Compétences du Métier,Code ROME,Description
1132,Ingénieur Logiciel,Finance,Master,Confirmé,Consultant,"Communication, Leadership, Créativité",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1133,Ingénieur Logiciel,Transport,Bac +3,Confirmé,Spécialiste,"Programmation, Créativité, Leadership",K2101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1134,Ingénieur Sécurité,Énergie,Doctorat,Intermédiaire,Formateur,"Cloud computing, Conception réseau, Analyse financière",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1135,Spécialiste Cloud,Construction,Master,Débutant,Spécialiste,"Gestion de projet, Sécurité des systèmes, Cloud computing",B1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1136,Développeur Web,Transport,Bac +2,Expert,Consultant,"Communication, Leadership, Programmation",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1137,Data Scientist,Education,Bac +3,Intermédiaire,Formateur,"Conception réseau, Leadership, Créativité",I1401,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1138,Spécialiste Cloud,Construction,Bac +3,Débutant,Consultant,"Communication, Créativité, Sécurité des systèmes",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1139,Technicien Réseaux,Commerce,Bac +3,Intermédiaire,Entrepreneur,"Créativité, Leadership, Conception réseau",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1140,Développeur Web,Transport,Bac +2,Intermédiaire,Manager,"Analyse financière, Analyse de données, Communication",F1103,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1141,Ingénieur Logiciel,Informatique,Bac,Confirmé,Formateur,"Cloud computing, Communication, Analyse de données",B1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1142,Data Scientist,Informatique,Bac +3,Débutant,Spécialiste,"Leadership, Cloud computing, Conception réseau",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1143,Développeur Web,Santé,Bac,Expert,Formateur,"Créativité, Programmation, Analyse financière",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1144,Ingénieur Logiciel,Construction,Bac +3,Confirmé,Formateur,"Leadership, Programmation, Gestion de projet",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1145,Développeur Web,Construction,Master,Débutant,Consultant,"Leadership, Communication, Gestion de projet",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1146,Ingénieur Logiciel,Finance,Bac,Confirmé,Spécialiste,"Gestion de projet, Communication, Cloud computing",N3203,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1147,Technicien Réseaux,Informatique,Bac +3,Débutant,Manager,"Créativité, Conception réseau, Cloud computing",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1148,Administrateur Systèmes,Santé,Bac +2,Débutant,Formateur,"Analyse de données, Gestion de projet, Communication",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1149,Technicien Réseaux,Education,Bac +3,Débutant,Consultant,"Cloud computing, Programmation, Analyse de données",F1103,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1150,Ingénieur Sécurité,Education,Bac +2,Intermédiaire,Manager,"Analyse financière, Sécurité des systèmes, Communication",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1151,Ingénieur Logiciel,Finance,Bac +3,Expert,Entrepreneur,"Cloud computing, Leadership, Créativité",B1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1152,Ingénieur Logiciel,Informatique,Bac +2,Expert,Manager,"Conception réseau, Leadership, Cloud computing",H1206,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1153,Chef de Projet IT,Informatique,Bac +3,Débutant,Entrepreneur,"Analyse financière, Conception réseau, Communication",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1154,Data Scientist,Marketing,Bac,Débutant,Consultant,"Leadership, Programmation, Sécurité des systèmes",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1155,Développeur Web,Construction,Doctorat,Expert,Formateur,"Conception réseau, Cloud computing, Communication",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1156,Ingénieur Logiciel,RH,Bac +3,Expert,Entrepreneur,"Créativité, Conception réseau, Communication",J1201,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1157,Ingénieur Logiciel,Construction,Bac,Intermédiaire,Manager,"Créativité, Conception réseau, Leadership",B1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1158,Consultant Big Data,Finance,Doctorat,Confirmé,Formateur,"Cloud computing, Analyse de données, Leadership",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1159,Analyste Cybersécurité,Santé,Bac +2,Débutant,Spécialiste,"Programmation, Sécurité des systèmes, Leadership",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1160,Chef de Projet IT,Education,Bac +3,Intermédiaire,Manager,"Analyse de données, Leadership, Sécurité des systèmes",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1161,Ingénieur Logiciel,Transport,Bac +2,Intermédiaire,Manager,"Leadership, Communication, Gestion de projet",B1805,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1162,Chef de Projet IT,Education,Bac +2,Expert,Formateur,"Sécurité des systèmes, Analyse de données, Cloud computing",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1163,Consultant Big Data,Transport,Master,Confirmé,Consultant,"Sécurité des systèmes, Analyse de données, Analyse financière",D1202,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1164,Ingénieur Logiciel,Transport,Doctorat,Intermédiaire,Consultant,"Cloud computing, Analyse de données, Leadership",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1165,Analyste Cybersécurité,Marketing,Doctorat,Confirmé,Spécialiste,"Leadership, Gestion de projet, Créativité",J1201,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1166,Consultant Big Data,Finance,Doctorat,Intermédiaire,Entrepreneur,"Analyse financière, Cloud computing, Créativité",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1167,Data Scientist,Commerce,Bac +2,Intermédiaire,Consultant,"Conception réseau, Gestion de projet, Programmation",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1168,Administrateur Systèmes,Informatique,Bac +3,Intermédiaire,Consultant,"Conception réseau, Sécurité des systèmes, Analyse financière",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1169,Data Scientist,Commerce,Doctorat,Intermédiaire,Spécialiste,"Communication, Analyse financière, Gestion de projet",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1170,Ingénieur Sécurité,Education,Doctorat,Débutant,Formateur,"Gestion de projet, Analyse de données, Analyse financière",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1171,Spécialiste Cloud,Commerce,Doctorat,Confirmé,Manager,"Leadership, Communication, Créativité",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1172,Analyste Cybersécurité,Commerce,Master,Débutant,Manager,"Analyse de données, Programmation, Leadership",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1173,Analyste Cybersécurité,Finance,Doctorat,Confirmé,Entrepreneur,"Programmation, Analyse financière, Conception réseau",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1174,Ingénieur Logiciel,Transport,Bac,Intermédiaire,Spécialiste,"Conception réseau, Analyse de données, Programmation",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1175,Ingénieur Sécurité,Construction,Bac +3,Confirmé,Spécialiste,"Analyse financière, Programmation, Cloud computing",K2101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1176,Administrateur Systèmes,Finance,Master,Débutant,Entrepreneur,"Cloud computing, Analyse de données, Analyse financière",D1202,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1177,Analyste Cybersécurité,Santé,Doctorat,Intermédiaire,Formateur,"Gestion de projet, Leadership, Sécurité des systèmes",M1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1178,Technicien Réseaux,Énergie,Bac,Débutant,Entrepreneur,"Gestion de projet, Conception réseau, Créativité",D1202,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1179,Data Scientist,Santé,Bac,Confirmé,Manager,"Analyse financière, Analyse de données, Créativité",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1180,Ingénieur Logiciel,Marketing,Doctorat,Expert,Manager,"Conception réseau, Communication, Gestion de projet",H1206,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1181,Technicien Réseaux,Transport,Doctorat,Expert,Spécialiste,"Communication, Sécurité des systèmes, Gestion de projet",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1182,Technicien Réseaux,Transport,Bac +3,Confirmé,Manager,"Créativité, Analyse financière, Leadership",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1183,Développeur Web,Construction,Master,Débutant,Formateur,"Programmation, Gestion de projet, Analyse financière",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1184,Ingénieur Sécurité,Commerce,Doctorat,Expert,Manager,"Gestion de projet, Créativité, Sécurité des systèmes",F1103,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1185,Technicien Réseaux,Transport,Master,Débutant,Manager,"Sécurité des systèmes, Communication, Conception réseau",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1186,Analyste Cybersécurité,Construction,Doctorat,Intermédiaire,Entrepreneur,"Analyse de données, Communication, Analyse financière",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1187,Chef de Projet IT,Marketing,Master,Intermédiaire,Entrepreneur,"Créativité, Cloud computing, Gestion de projet",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1188,Data Scientist,Énergie,Bac +3,Confirmé,Entrepreneur,"Analyse financière, Cloud computing, Créativité",I1401,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1189,Ingénieur Sécurité,Transport,Bac +3,Confirmé,Spécialiste,"Cloud computing, Gestion de projet, Conception réseau",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1190,Administrateur Systèmes,Finance,Bac +3,Confirmé,Manager,"Sécurité des systèmes, Cloud computing, Gestion de projet",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1191,Chef de Projet IT,Énergie,Bac,Débutant,Entrepreneur,"Analyse de données, Conception réseau, Communication",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1192,Data Scientist,Education,Bac +3,Expert,Formateur,"Communication, Créativité, Programmation",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1193,Développeur Web,Finance,Doctorat,Confirmé,Formateur,"Analyse financière, Conception réseau, Gestion de projet",G1101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1194,Ingénieur Sécurité,RH,Bac,Débutant,Consultant,"Analyse financière, Communication, Créativité",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1195,Ingénieur Sécurité,Commerce,Bac +2,Débutant,Spécialiste,"Créativité, Conception réseau, Communication",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1196,Analyste Cybersécurité,Énergie,Bac +3,Expert,Formateur,"Cloud computing, Créativité, Programmation",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1197,Consultant Big Data,Marketing,Bac,Intermédiaire,Formateur,"Communication, Analyse financière, Créativité",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1198,Développeur Web,RH,Bac +3,Expert,Entrepreneur,"Conception réseau, Analyse de données, Analyse financière",N3203,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1199,Analyste Cybersécurité,Transport,Bac +3,Débutant,Entrepreneur,"Créativité, Analyse de données, Gestion de projet",I1401,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1200,Chef de Projet IT,RH,Bac +2,Confirmé,Manager,"Gestion de projet, Communication, Leadership",N3203,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1201,Chef de Projet IT,Education,Bac +2,Confirmé,Formateur,"Communication, Analyse de données, Créativité",H1206,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1202,Technicien Réseaux,Education,Doctorat,Confirmé,Spécialiste,"Sécurité des systèmes, Communication, Leadership",H1206,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1203,Data Scientist,RH,Bac +3,Expert,Spécialiste,"Conception réseau, Programmation, Créativité",F1103,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1204,Technicien Réseaux,Santé,Bac +2,Confirmé,Spécialiste,"Gestion de projet, Communication, Leadership",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1205,Chef de Projet IT,Commerce,Master,Débutant,Consultant,"Analyse financière, Analyse de données, Programmation",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1206,Chef de Projet IT,Informatique,Bac,Intermédiaire,Consultant,"Sécurité des systèmes, Leadership, Créativité",H1206,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1207,Administrateur Systèmes,Énergie,Bac +3,Débutant,Entrepreneur,"Programmation, Analyse financière, Conception réseau",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1208,Consultant Big Data,Santé,Master,Expert,Entrepreneur,"Sécurité des systèmes, Créativité, Communication",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1209,Data Scientist,Santé,Doctorat,Intermédiaire,Formateur,"Analyse financière, Gestion de projet, Conception réseau",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1210,Développeur Web,Informatique,Bac,Confirmé,Entrepreneur,"Analyse financière, Créativité, Programmation",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1211,Chef de Projet IT,Informatique,Bac,Expert,Spécialiste,"Communication, Analyse de données, Conception réseau",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1212,Spécialiste Cloud,Informatique,Master,Intermédiaire,Consultant,"Communication, Programmation, Cloud computing",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1213,Consultant Big Data,Commerce,Doctorat,Intermédiaire,Manager,"Leadership, Analyse financière, Créativité",N3203,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1214,Spécialiste Cloud,Marketing,Doctorat,Expert,Spécialiste,"Programmation, Analyse financière, Créativité",N3203,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1215,Technicien Réseaux,Marketing,Bac +2,Intermédiaire,Manager,"Analyse financière, Sécurité des systèmes, Conception réseau",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1216,Ingénieur Sécurité,Construction,Bac +3,Expert,Formateur,"Leadership, Communication, Gestion de projet",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1217,Chef de Projet IT,RH,Doctorat,Intermédiaire,Consultant,"Gestion de projet, Programmation, Cloud computing",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1218,Ingénieur Logiciel,Finance,Doctorat,Intermédiaire,Entrepreneur,"Créativité, Conception réseau, Communication",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1219,Ingénieur Logiciel,Énergie,Bac +2,Intermédiaire,Entrepreneur,"Cloud computing, Analyse financière, Sécurité des systèmes",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1220,Consultant Big Data,Education,Bac +2,Confirmé,Formateur,"Analyse de données, Gestion de projet, Sécurité des systèmes",H1206,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1221,Ingénieur Logiciel,Santé,Doctorat,Confirmé,Spécialiste,"Gestion de projet, Programmation, Analyse de données",K2101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1222,Administrateur Systèmes,Énergie,Bac +2,Expert,Entrepreneur,"Analyse de données, Conception réseau, Analyse financière",M1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1223,Administrateur Systèmes,Informatique,Bac +3,Expert,Entrepreneur,"Analyse financière, Conception réseau, Cloud computing",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1224,Ingénieur Sécurité,Transport,Doctorat,Intermédiaire,Entrepreneur,"Conception réseau, Cloud computing, Leadership",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1225,Ingénieur Logiciel,Énergie,Bac,Confirmé,Spécialiste,"Cloud computing, Programmation, Créativité",I1401,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1226,Ingénieur Logiciel,Construction,Bac +2,Débutant,Consultant,"Communication, Analyse financière, Analyse de données",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1227,Administrateur Systèmes,Commerce,Bac +3,Intermédiaire,Spécialiste,"Conception réseau, Programmation, Gestion de projet",D1202,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1228,Spécialiste Cloud,Commerce,Bac +3,Intermédiaire,Manager,"Analyse de données, Sécurité des systèmes, Communication",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1229,Analyste Cybersécurité,Finance,Bac,Débutant,Consultant,"Programmation, Leadership, Créativité",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1230,Chef de Projet IT,RH,Master,Expert,Formateur,"Gestion de projet, Programmation, Sécurité des systèmes",I1401,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1231,Chef de Projet IT,Marketing,Master,Confirmé,Consultant,"Programmation, Analyse de données, Créativité",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1232,Data Scientist,RH,Bac +2,Confirmé,Entrepreneur,"Leadership, Communication, Analyse financière",N3203,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1233,Chef de Projet IT,Marketing,Bac +2,Confirmé,Entrepreneur,"Communication, Analyse de données, Créativité",N3203,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1234,Ingénieur Sécurité,Transport,Bac +2,Confirmé,Formateur,"Cloud computing, Sécurité des systèmes, Leadership",F1103,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1235,Data Scientist,RH,Doctorat,Expert,Spécialiste,"Leadership, Conception réseau, Cloud computing",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1236,Analyste Cybersécurité,RH,Bac +3,Confirmé,Consultant,"Analyse financière, Analyse de données, Cloud computing",B1805,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1237,Technicien Réseaux,Marketing,Master,Intermédiaire,Formateur,"Analyse financière, Cloud computing, Sécurité des systèmes",F1103,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1238,Technicien Réseaux,Commerce,Bac +2,Expert,Spécialiste,"Analyse de données, Communication, Créativité",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1239,Ingénieur Sécurité,Education,Bac +3,Débutant,Entrepreneur,"Gestion de projet, Analyse de données, Conception réseau",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1240,Ingénieur Logiciel,Énergie,Bac +3,Expert,Formateur,"Cloud computing, Analyse de données, Analyse financière",K2101,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1241,Ingénieur Logiciel,Marketing,Doctorat,Intermédiaire,Entrepreneur,"Sécurité des systèmes, Analyse de données, Leadership",J1201,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1242,Chef de Projet IT,Finance,Doctorat,Expert,Spécialiste,"Programmation, Conception réseau, Analyse de données",D1202,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1243,Spécialiste Cloud,Education,Bac,Confirmé,Entrepreneur,"Cloud computing, Communication, Sécurité des systèmes",H1206,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1244,Ingénieur Sécurité,Commerce,Doctorat,Débutant,Spécialiste,"Créativité, Programmation, Conception réseau",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1245,Chef de Projet IT,Marketing,Bac,Débutant,Manager,"Cloud computing, Analyse financière, Programmation",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1246,Spécialiste Cloud,Commerce,Bac +2,Débutant,Spécialiste,"Cloud computing, Analyse financière, Communication",J1201,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1247,Analyste Cybersécurité,Commerce,Bac +2,Intermédiaire,Spécialiste,"Gestion de projet, Cloud computing, Sécurité des systèmes",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1248,Technicien Réseaux,Marketing,Doctorat,Intermédiaire,Consultant,"Cloud computing, Créativité, Conception réseau",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1249,Chef de Projet IT,Education,Bac +2,Débutant,Spécialiste,"Communication, Sécurité des systèmes, Cloud computing",F1103,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1250,Chef de Projet IT,RH,Bac +3,Confirmé,Manager,"Sécurité des systèmes, Conception réseau, Analyse de données",J1201,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1251,Data Scientist,Finance,Bac +2,Intermédiaire,Entrepreneur,"Leadership, Créativité, Gestion de projet",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1252,Technicien Réseaux,Education,Master,Expert,Formateur,"Sécurité des systèmes, Gestion de projet, Programmation",I1401,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1253,Consultant Big Data,Énergie,Bac +2,Expert,Spécialiste,"Analyse financière, Sécurité des systèmes, Gestion de projet",G1101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1254,Technicien Réseaux,Santé,Master,Débutant,Manager,"Gestion de projet, Créativité, Conception réseau",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1255,Administrateur Systèmes,Finance,Bac +2,Intermédiaire,Entrepreneur,"Conception réseau, Analyse financière, Sécurité des systèmes",K2101,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1256,Consultant Big Data,Énergie,Bac +3,Expert,Consultant,"Communication, Analyse de données, Créativité",H1206,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1257,Spécialiste Cloud,Marketing,Bac +3,Expert,Consultant,"Analyse financière, Conception réseau, Leadership",N3203,"Ce métier consiste à concevoir, développer, et maintenir des applications ou des systèmes répondant aux besoins des utilisateurs."
1258,Consultant Big Data,Santé,Master,Expert,Spécialiste,"Communication, Programmation, Analyse de données",I1401,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1259,Administrateur Systèmes,Marketing,Doctorat,Intermédiaire,Formateur,"Analyse de données, Analyse financière, Programmation",G1101,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1260,Consultant Big Data,Education,Bac +3,Confirmé,Manager,"Analyse financière, Leadership, Conception réseau",N3203,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1261,Ingénieur Sécurité,Finance,Doctorat,Débutant,Formateur,"Sécurité des systèmes, Conception réseau, Gestion de projet",K2101,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1262,Analyste Cybersécurité,Informatique,Bac +3,Expert,Manager,"Cloud computing, Conception réseau, Analyse de données",K2101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1263,Consultant Big Data,Finance,Bac +2,Expert,Entrepreneur,"Programmation, Analyse financière, Conception réseau",M1805,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1264,Ingénieur Sécurité,Commerce,Bac,Débutant,Formateur,"Analyse de données, Créativité, Cloud computing",B1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1265,Technicien Réseaux,Education,Bac +3,Intermédiaire,Formateur,"Créativité, Cloud computing, Leadership",N3203,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1266,Data Scientist,Finance,Master,Confirmé,Formateur,"Gestion de projet, Analyse de données, Sécurité des systèmes",D1202,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1267,Consultant Big Data,Education,Bac,Confirmé,Spécialiste,"Programmation, Analyse de données, Conception réseau",B1805,L'ingénieur s'assure que les systèmes et logiciels utilisés respectent les standards de sécurité pour les données.
1268,Analyste Cybersécurité,Commerce,Bac +2,Expert,Entrepreneur,"Leadership, Programmation, Créativité",M1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
1269,Administrateur Systèmes,Transport,Master,Confirmé,Consultant,"Conception réseau, Communication, Créativité",F1103,Les professionnels du domaine travaillent à sécuriser les infrastructures réseaux et à assurer leur bon fonctionnement.
1270,Ingénieur Sécurité,Transport,Bac,Intermédiaire,Spécialiste,"Conception réseau, Cloud computing, Analyse de données",G1101,"Gère des projets complexes et coordonne les équipes, les budgets, et le développement technique."
1271,Consultant Big Data,Santé,Master,Confirmé,Formateur,"Analyse de données, Communication, Sécurité des systèmes",B1805,Spécialiste des données et des systèmes de sécurité pour contrer les menaces numériques.
